timestamp,bus,can_id,payload
1780709690.443180,vcan0,602,00000000
1780709690.443252,vcan0,603,00000000
1780709690.443342,vcan0,604,00
1780709690.443423,vcan0,605,00
1780709690.443570,vcan0,607,00
1780709690.458874,vcan0,600,00000000
1780709690.459037,vcan0,601,7F000000
1780709690.459124,vcan0,602,00000000
1780709690.474920,vcan0,600,00000000
1780709690.475053,vcan0,601,7F000000
1780709690.475139,vcan0,602,00000000
1780709690.490699,vcan0,600,00000000
1780709690.490851,vcan0,601,7F000000
1780709690.490955,vcan0,602,00000000
1780709690.596482,vcan0,600,00000000
1780709690.596680,vcan0,601,7F000000
1780709690.596773,vcan0,602,00000000
1780709690.596868,vcan0,603,00000000
1780709690.596961,vcan0,604,00
1780709690.597076,vcan0,605,00
1780709690.597177,vcan0,607,00
1780709690.611727,vcan0,600,00000000
1780709690.611882,vcan0,601,7F000000
1780709690.611985,vcan0,602,00000000
1780709690.627782,vcan0,600,00000000
1780709690.627891,vcan0,601,7F000000
1780709690.627963,vcan0,602,00000000
1780709690.643640,vcan0,600,00000000
1780709690.643737,vcan0,601,7F000000
1780709690.643812,vcan0,602,00000000
1780709690.749822,vcan0,600,00000000
1780709690.750061,vcan0,601,7F000000
1780709690.750192,vcan0,602,00000000
1780709690.750551,vcan0,603,00000000
1780709690.750697,vcan0,604,00
1780709690.750882,vcan0,605,00
1780709690.751001,vcan0,607,00
1780709690.764933,vcan0,600,00000000
1780709690.765056,vcan0,601,7F000000
1780709690.765132,vcan0,602,00000000
1780709690.780945,vcan0,600,00000000
1780709690.781059,vcan0,601,7F000000
1780709690.781136,vcan0,602,00000000
1780709690.796768,vcan0,600,00000000
1780709690.796875,vcan0,601,7F000000
1780709690.796945,vcan0,602,00000000
1780709690.904681,vcan0,600,00000000
1780709690.904970,vcan0,601,7F000000
1780709690.905098,vcan0,602,00000000
1780709690.905198,vcan0,603,00000000
1780709690.905290,vcan0,604,00
1780709690.905388,vcan0,605,00
1780709690.905505,vcan0,607,00
1780709690.919789,vcan0,600,00000000
1780709690.919942,vcan0,601,7F000000
1780709690.920035,vcan0,602,00000000
1780709690.935798,vcan0,600,00000000
1780709690.935932,vcan0,601,7F000000
1780709690.936020,vcan0,602,00000000
1780709690.951751,vcan0,600,00000000
1780709690.951888,vcan0,601,7F000000
1780709690.951980,vcan0,602,00000000
1780709691.054647,vcan0,600,00000000
1780709691.054839,vcan0,601,7F000000
1780709691.054963,vcan0,602,00000000
1780709691.055058,vcan0,603,00000000
1780709691.055149,vcan0,604,00
1780709691.055242,vcan0,605,00
1780709691.055333,vcan0,607,00
1780709691.069735,vcan0,600,00000000
1780709691.069866,vcan0,601,7F000000
1780709691.069938,vcan0,602,00000000
1780709691.085836,vcan0,600,00000000
1780709691.085968,vcan0,601,7F000000
1780709691.086044,vcan0,602,00000000
1780709691.101711,vcan0,600,00000000
1780709691.101822,vcan0,601,7F000000
1780709691.101892,vcan0,602,00000000
1780709691.208588,vcan0,600,00000000
1780709691.208786,vcan0,601,7F000000
1780709691.208954,vcan0,602,00000000
1780709691.209125,vcan0,603,00000000
1780709691.209312,vcan0,604,00
1780709691.209418,vcan0,605,00
1780709691.209549,vcan0,607,00
1780709691.223783,vcan0,600,00000000
1780709691.223904,vcan0,601,7F000000
1780709691.223978,vcan0,602,00000000
1780709691.239782,vcan0,600,00000000
1780709691.239939,vcan0,601,7F000000
1780709691.240043,vcan0,602,00000000
1780709691.255643,vcan0,600,00000000
1780709691.255760,vcan0,601,7F000000
1780709691.255834,vcan0,602,00000000
1780709691.359788,vcan0,600,00000000
1780709691.359979,vcan0,601,7F000000
1780709691.360073,vcan0,602,00000000
1780709691.360149,vcan0,603,00000000
1780709691.360224,vcan0,604,00
1780709691.360292,vcan0,605,00
1780709691.360368,vcan0,607,00
1780709691.375825,vcan0,600,00000000
1780709691.375950,vcan0,601,7F000000
1780709691.376030,vcan0,602,00000000
1780709691.391757,vcan0,600,00000000
1780709691.391874,vcan0,601,7F000000
1780709691.391948,vcan0,602,00000000
1780709691.407618,vcan0,600,00000000
1780709691.407726,vcan0,601,7F000000
1780709691.407795,vcan0,602,00000000
1780709691.512314,vcan0,600,00000000
1780709691.512502,vcan0,601,7F000000
1780709691.512603,vcan0,602,00000000
1780709691.512699,vcan0,603,00000000
1780709691.512798,vcan0,604,00
1780709691.512904,vcan0,605,00
1780709691.512986,vcan0,607,00
1780709691.527613,vcan0,600,00000000
1780709691.527717,vcan0,601,7F000000
1780709691.527789,vcan0,602,00000000
1780709691.543739,vcan0,600,00000000
1780709691.543859,vcan0,601,7F000000
1780709691.543936,vcan0,602,00000000
1780709691.559722,vcan0,600,00000000
1780709691.559839,vcan0,601,7F000000
1780709691.559919,vcan0,602,00000000
1780709691.658209,vcan0,600,00000000
1780709691.658363,vcan0,601,7F000000
1780709691.658474,vcan0,602,00000000
1780709691.658561,vcan0,603,00000000
1780709691.658638,vcan0,604,00
1780709691.658709,vcan0,605,00
1780709691.658788,vcan0,607,00
1780709691.673764,vcan0,600,00000000
1780709691.673886,vcan0,601,7F000000
1780709691.673958,vcan0,602,00000000
1780709691.689740,vcan0,600,00000000
1780709691.689871,vcan0,601,7F000000
1780709691.689947,vcan0,602,00000000
1780709691.705786,vcan0,600,00000000
1780709691.705919,vcan0,601,7F000000
1780709691.705993,vcan0,602,00000000
1780709691.804383,vcan0,600,00000000
1780709691.804596,vcan0,601,7F000000
1780709691.804704,vcan0,602,00000000
1780709691.804803,vcan0,603,00000000
1780709691.804895,vcan0,604,00
1780709691.804987,vcan0,605,00
1780709691.805074,vcan0,607,00
1780709691.819630,vcan0,600,00000000
1780709691.819760,vcan0,601,7F000000
1780709691.819848,vcan0,602,00000000
1780709691.835693,vcan0,600,00000000
1780709691.835832,vcan0,601,7F000000
1780709691.835924,vcan0,602,00000000
1780709691.851687,vcan0,600,00000000
1780709691.851820,vcan0,601,7F000000
1780709691.851909,vcan0,602,00000000
1780709691.949938,vcan0,600,00000000
1780709691.950143,vcan0,601,7F000000
1780709691.950246,vcan0,602,00000000
1780709691.950343,vcan0,603,00000000
1780709691.950438,vcan0,604,00
1780709691.950560,vcan0,605,00
1780709691.950685,vcan0,607,00
1780709691.964753,vcan0,600,00000000
1780709691.964868,vcan0,601,7F000000
1780709691.964941,vcan0,602,00000000
1780709691.979672,vcan0,600,00000000
1780709691.979789,vcan0,601,7F000000
1780709691.979867,vcan0,602,00000000
1780709691.995705,vcan0,600,00000000
1780709691.995822,vcan0,601,7F000000
1780709691.995901,vcan0,602,00000000
1780709692.100606,vcan0,600,00000000
1780709692.101187,vcan0,601,7F000000
1780709692.101295,vcan0,602,00000000
1780709692.101384,vcan0,603,00000000
1780709692.101511,vcan0,604,00
1780709692.101601,vcan0,605,00
1780709692.101671,vcan0,607,00
1780709692.115905,vcan0,600,00000000
1780709692.116046,vcan0,601,7F000000
1780709692.116186,vcan0,602,00000000
1780709692.131866,vcan0,600,00000000
1780709692.132014,vcan0,601,7F000000
